"","rideable_type","member_casual","day_week","total_trips_rideable_type","mean_trip_time_rideable_type","sum_trip_time_rideable_type"
"1","classic_bike","casual","domingo",26733,32.6378520929189,872507.7
"2","classic_bike","casual","segunda-feira",14350,29.3374599303136,420992.55
"3","classic_bike","casual","terça-feira",12996,26.0231289114599,338196.583333333
"4","classic_bike","casual","quarta-feira",14007,25.508162585374,357292.833333333
"5","classic_bike","casual","quinta-feira",14506,26.0219977940163,377475.1
"6","classic_bike","casual","sexta-feira",18400,26.9603867753623,496071.116666667
"7","classic_bike","casual","sábado",31050,30.3673531937735,942906.316666667
"8","classic_bike","member","domingo",26451,16.0843799226242,425447.933333333
"9","classic_bike","member","segunda-feira",29046,13.2949964424247,386166.466666667
"10","classic_bike","member","terça-feira",31602,13.0365541210472,411981.183333333
"11","classic_bike","member","quarta-feira",32568,13.0779676369442,425923.25
"12","classic_bike","member","quinta-feira",30881,12.9452246796844,399761.483333333
"13","classic_bike","member","sexta-feira",29180,13.5094619602467,394206.1
"14","classic_bike","member","sábado",29042,15.6154626632693,453504.266666667
"15","docked_bike","casual","domingo",7165,88.013600837404,630617.45
"16","docked_bike","casual","segunda-feira",3779,87.3092131957308,329941.516666667
"17","docked_bike","casual","terça-feira",3015,76.0718518518518,229356.633333333
"18","docked_bike","casual","quarta-feira",2750,62.7093212121212,172450.633333333
"19","docked_bike","casual","quinta-feira",2927,82.7113882245758,242096.233333333
"20","docked_bike","casual","sexta-feira",4265,87.1688589292692,371775.183333333
"21","docked_bike","casual","sábado",7801,82.1260265777892,640665.133333333
"22","electric_bike","casual","domingo",16512,22.8865673449612,377903
"23","electric_bike","casual","segunda-feira",12470,19.8623710237904,247683.766666667
"24","electric_bike","casual","terça-feira",12990,17.9639556068771,233351.783333333
"25","electric_bike","casual","quarta-feira",13251,17.7224725177974,234840.483333333
"26","electric_bike","casual","quinta-feira",13412,17.4236728303012,233686.3
"27","electric_bike","casual","sexta-feira",15613,18.5143705032131,289064.866666667
"28","electric_bike","casual","sábado",18818,20.9697417366351,394608.6
"29","electric_bike","member","domingo",14212,14.1842328079557,201586.316666667
"30","electric_bike","member","segunda-feira",17207,12.5183442784913,215403.15
"31","electric_bike","member","terça-feira",19560,11.5842041581459,226587.033333333
"32","electric_bike","member","quarta-feira",19619,11.6776602613113,229104.016666667
"33","electric_bike","member","quinta-feira",18955,11.6942970192561,221665.4
"34","electric_bike","member","sexta-feira",18444,12.2237168365503,225454.233333333
"35","electric_bike","member","sábado",16361,13.790372430373,225624.283333333
