month,member_casual,total_trips_month,mean_trip_time_month,sum_trip_time_month
janeiro,casual,1900,54.6122543859649,103763.283333333
janeiro,member,8976,11.9469158496732,107235.516666667
fevereiro,casual,2250,23.4246666666667,52705.5
fevereiro,member,9786,11.2225969071463,109824.333333333
março,casual,9551,36.0095958538373,343927.65
março,member,20486,11.785688600345,241441.616666667
abril,casual,14296,38.4423265249021,549571.5
abril,member,20891,14.6704051186316,306479.433333333
maio,casual,26967,35.832839519907,966304.183333333
maio,member,28823,14.6634128994206,422643.55
junho,casual,38445,34.4569159405211,1324696.13333333
junho,member,37741,14.681977601724,554112.516666667
julho,casual,46393,33.1863197752535,1539612.93333333
julho,member,39712,14.4380191545796,573362.616666667
agosto,casual,43064,28.4704699207381,1226052.31666667
agosto,member,40881,14.0022512495617,572426.033333333
setembro,casual,38132,28.334969317109,1080469.05
setembro,member,41135,13.6088096106317,559798.383333333
outubro,casual,26982,28.2713525066093,762817.633333333
outubro,member,39425,12.4668311139294,491504.816666667
novembro,casual,11410,24.9402337131171,284568.066666667
novembro,member,26709,11.1889544098743,298845.783333333
dezembro,casual,7420,26.8188050314465,198995.533333333
dezembro,member,18563,11.029495052883,204740.516666667
